% index X for GameFlag[X] = engine name = semantic name
%
% GameFlag[000-7FF] % 800DBC70 - 800DBD6F

04C = Flag_KMR_2E = unused
04D = Flag_KMR_2F = GF_KMR09_ItemBlock_CoinA
04E = Flag_KMR_30 = GF_KMR09_ItemBlock_CoinB
04F = Flag_KMR_31 = GF_KMR06_Item_Mushroom
050 = Flag_KMR_32 = GF_KMR06_BadgeBlock_CloseCall
051 = Flag_KMR_33 = GF_KMR11_ItemBlock_SuperShroom
052 = Flag_KMR_34 = GF_KMR11_Tree1_StarPiece
053 = Flag_KMR_35 = GF_KMR11_Tree2_Coin
054 = Flag_KMR_36 = GF_KMR10_Chest_HammerThrow
055 = Flag_KMR_37 = GF_KMR10_ItemBlock_SleepySheep
056 = Flag_KMR_38 = GF_KMR00_HiddenPanel
057 = Flag_KMR_39 = unused
058 = Flag_KMR_3A = GF_KMR03_HiddenPanel
059 = Flag_KMR_3B = unused
05A = Flag_KMR_3C = GF_KMR11_HiddenPanel
05B = Flag_KMR_3D = GF_KMR10_UnreadFlagForSpring
05C = Flag_KMR_3E = unused
05D = Flag_KMR_3F = unused
05E = Flag_KMR_40 = GF_Tutorial_Badges
05F = Flag_KMR_41 = GF_Tutorial_SaveBlock
060 = Flag_KMR_42 = GF_Tutorial_HeartBlock
061 = Flag_KMR_43 = GF_Tutorial_GotItem
062 = Flag_KMR_44 = GF_KMR20_ReunitedWithLuigi % and saw him whistling
063 = Flag_KMR_45 = GF_KMR20_Gift_LuigisAutograph
064 = Flag_KMR_46 = GF_KMR02_Gift_TheTape
065 = Flag_KMR_47 = GF_Tutorial_GotStarPiece
066 = Flag_KMR_48 = GF_FoughtTheMaster
067 = Flag_KMR_49 = GF_KMR20_ReadThankYouLetterFromKoopaVillage
068 = Flag_KMR_4A = GF_KMR02_Goombario_RelayedMessage
069 = Flag_KMR_4B = GF_KMR20_CaughtLuigiInBasement
06A = Flag_KMR_4C = GF_KMR20_CaughtLuigiReadingLetter
06B = Flag_KMR_4D = GF_KMR20_FoundLuigisDiary
06C = Flag_KMR_4E = GF_KMR20_CheckedDeskForMail
06D = Flag_KMR_4F = GF_KMR20_ChasedOffShyGuy
06E = Flag_KMR_50 = GF_KMR10_KnockedSpringOutOfTree
06F = Flag_KMR_51 = unused
070 = Flag_KMR_52 = unused
071 = Flag_KMR_53 = unused
072 = Flag_KMR_54 = unused
073 = Flag_KMR_55 = unused
074 = Flag_KMR_56 = unused
075 = Flag_KMR_57 = unused
076 = Flag_KMR_58 = unused
077 = Flag_KMR_59 = unused
078 = Flag_KMR_5A = unused
079 = Flag_KMR_5B = unused
07A = Flag_KMR_5C = unused
07B = Flag_KMR_5D = unused
07C = Flag_KMR_5E = unused
07D = Flag_KMR_5F = unused
07E = Flag_KMR_60 = unused
07F = Flag_KMR_61 = unused
080 = Flag_KMR_62 = unused
081 = Flag_KMR_63 = unused
082 = Flag_MAC_00 = unused
083 = Flag_MAC_01 = GF_MAC02_UnlockedHouse
084 = Flag_MAC_02 = GF_MAC02_Item_OddKey
085 = Flag_MAC_03 = GF_MAC01_UnlockedRowfBadge_00
086 = Flag_MAC_04 = GF_MAC01_UnlockedRowfBadge_01
087 = Flag_MAC_05 = GF_MAC01_UnlockedRowfBadge_02
088 = Flag_MAC_06 = GF_MAC01_UnlockedRowfBadge_03
089 = Flag_MAC_07 = GF_MAC01_UnlockedRowfBadge_04
08A = Flag_MAC_08 = GF_MAC01_UnlockedRowfBadge_05
08B = Flag_MAC_09 = GF_MAC01_UnlockedRowfBadge_06
08C = Flag_MAC_0A = GF_MAC01_UnlockedRowfBadge_07
08D = Flag_MAC_0B = GF_MAC01_UnlockedRowfBadge_08
08E = Flag_MAC_0C = GF_MAC01_UnlockedRowfBadge_09
08F = Flag_MAC_0D = GF_MAC01_UnlockedRowfBadge_0A
090 = Flag_MAC_0E = GF_MAC01_UnlockedRowfBadge_0B
091 = Flag_MAC_0F = GF_MAC01_UnlockedRowfBadge_0C
092 = Flag_MAC_10 = GF_MAC01_UnlockedRowfBadge_0D
093 = Flag_MAC_11 = GF_MAC01_UnlockedRowfBadge_0E
094 = Flag_MAC_12 = GF_MAC01_UnlockedRowfBadge_0F
095 = Flag_MAC_13 = unused % presumably for Rowf's 17th badge
096 = Flag_MAC_14 = unused % presumably for Rowf's 18th badge
097 = Flag_MAC_15 = unused % presumably for Rowf's 19th badge
098 = Flag_MAC_16 = unused % presumably for Rowf's 20th badge
099 = Flag_MAC_17 = GF_MAC01_UnlockedLetter_00
09A = Flag_MAC_18 = GF_MAC01_UnlockedLetter_01
09B = Flag_MAC_19 = GF_MAC01_UnlockedLetter_02
09C = Flag_MAC_1A = GF_MAC01_UnlockedLetter_03
09D = Flag_MAC_1B = GF_MAC01_UnlockedLetter_04
09E = Flag_MAC_1C = GF_MAC01_UnlockedLetter_05
09F = Flag_MAC_1D = GF_MAC01_UnlockedLetter_06
0A0 = Flag_MAC_1E = GF_MAC01_UnlockedLetter_07
0A1 = Flag_MAC_1F = GF_MAC01_UnlockedLetter_08
0A2 = Flag_MAC_20 = GF_MAC01_UnlockedLetter_09
0A3 = Flag_MAC_21 = GF_MAC01_UnlockedLetter_0A
0A4 = Flag_MAC_22 = GF_MAC01_UnlockedLetter_0B
0A5 = Flag_MAC_23 = GF_MAC01_UnlockedLetter_0C
0A6 = Flag_MAC_24 = GF_MAC01_UnlockedLetter_0D
0A7 = Flag_MAC_25 = GF_MAC01_UnlockedLetter_0E
0A8 = Flag_MAC_26 = GF_MAC01_UnlockedLetter_0F
0A9 = Flag_MAC_27 = GF_MAC01_UnlockedLetter_10
0AA = Flag_MAC_28 = GF_MAC01_UnlockedLetter_11
0AB = Flag_MAC_29 = GF_MAC01_UnlockedLetter_12
0AC = Flag_MAC_2A = GF_MAC01_ReadLetter_00
0AD = Flag_MAC_2B = GF_MAC01_ReadLetter_01
0AE = Flag_MAC_2C = GF_MAC01_ReadLetter_02
0AF = Flag_MAC_2D = GF_MAC01_ReadLetter_03
0B0 = Flag_MAC_2E = GF_MAC01_ReadLetter_04
0B1 = Flag_MAC_2F = GF_MAC01_ReadLetter_05
0B2 = Flag_MAC_30 = GF_MAC01_ReadLetter_06
0B3 = Flag_MAC_31 = GF_MAC01_ReadLetter_07
0B4 = Flag_MAC_32 = GF_MAC01_ReadLetter_08
0B5 = Flag_MAC_33 = GF_MAC01_ReadLetter_09
0B6 = Flag_MAC_34 = GF_MAC01_ReadLetter_0A
0B7 = Flag_MAC_35 = GF_MAC01_ReadLetter_0B
0B8 = Flag_MAC_36 = GF_MAC01_ReadLetter_0C
0B9 = Flag_MAC_37 = GF_MAC01_ReadLetter_0D
0BA = Flag_MAC_38 = GF_MAC01_ReadLetter_0E
0BB = Flag_MAC_39 = GF_MAC01_ReadLetter_0F
0BC = Flag_MAC_3A = GF_MAC01_ReadLetter_10
0BD = Flag_MAC_3B = GF_MAC01_ReadLetter_11
0BE = Flag_MAC_3C = GF_MAC01_ReadLetter_12
0BF = Flag_MAC_3D = GF_MAC00_RussT_HeardLore_00
0C0 = Flag_MAC_3E = GF_MAC00_RussT_HeardLore_01
0C1 = Flag_MAC_3F = GF_MAC00_RussT_HeardLore_02
0C2 = Flag_MAC_40 = GF_MAC00_RussT_HeardLore_03
0C3 = Flag_MAC_41 = GF_MAC00_RussT_HeardLore_04
0C4 = Flag_MAC_42 = GF_MAC00_RussT_HeardLore_05
0C5 = Flag_MAC_43 = GF_MAC00_RussT_HeardLore_06
0C6 = Flag_MAC_44 = GF_MAC00_RussT_HeardLore_07
0C7 = Flag_MAC_45 = GF_MAC00_RussT_HeardLore_08
0C8 = Flag_MAC_46 = GF_MAC00_RussT_HeardLore_09
0C9 = Flag_MAC_47 = GF_MAC00_RussT_HeardLore_0A
0CA = Flag_MAC_48 = GF_MAC00_RussT_HeardLore_0B
0CB = Flag_MAC_49 = GF_MAC00_RussT_HeardLore_0C
0CC = Flag_MAC_4A = GF_MAC00_RussT_HeardLore_0D
0CD = Flag_MAC_4B = GF_MAC00_RussT_HeardLore_0E
0CE = Flag_MAC_4C = GF_MAC00_RussT_HeardLore_0F
0CF = Flag_MAC_4D = GF_MAC00_RussT_HeardLore_10
0D0 = Flag_MAC_4E = GF_MAC00_RussT_HeardLore_11
0D1 = Flag_MAC_4F = GF_MAC00_RussT_HeardLore_12
0D2 = Flag_MAC_50 = GF_MAC00_RussT_HeardLore_13
0D3 = Flag_MAC_51 = GF_MAC00_RussT_HeardLore_14
0D4 = Flag_MAC_52 = GF_MAC00_RussT_HeardLore_15
0D5 = Flag_MAC_53 = GF_MAC00_RussT_HeardLore_16
0D6 = Flag_MAC_54 = GF_MAC00_RussT_HeardLore_17
0D7 = Flag_MAC_55 = GF_MAC00_RussT_HeardLore_18
0D8 = Flag_MAC_56 = GF_MAC00_RussT_HeardLore_19
0D9 = Flag_MAC_57 = GF_MAC00_RussT_HeardLore_1A
0DA = Flag_MAC_58 = GF_MAC00_RussT_HeardLore_1B
0DB = Flag_MAC_59 = GF_MAC00_RussT_HeardLore_1C
0DC = Flag_MAC_5A = GF_MAC00_RussT_HeardLore_1D
0DD = Flag_MAC_5B = GF_MAC00_RussT_HeardLore_1E
0DE = Flag_MAC_5C = GF_MAC00_RussT_HeardLore_1F
0DF = Flag_MAC_5D = GF_MAC00_RussT_HeardLore_20
0E0 = Flag_MAC_5E = GF_MAC00_RussT_HeardLore_21
0E1 = Flag_MAC_5F = GF_MAC00_RussT_HeardLore_22
0E2 = Flag_MAC_60 = GF_MAC00_RussT_HeardLore_23
0E3 = Flag_MAC_61 = unused % presumably for RussT's 37th lore
0E4 = Flag_MAC_62 = unused % presumably for RussT's 38th lore
0E5 = Flag_MAC_63 = unused % presumably for RussT's 39th lore
0E6 = Flag_MAC_64 = unused % presumably for RussT's 40th lore
0E7 = Flag_MAC_65 = unused % presumably for RussT's 41st lore
0E8 = Flag_MAC_66 = unused % presumably for RussT's 42nd lore
0E9 = Flag_MAC_67 = unused % presumably for RussT's 43th lore
0EA = Flag_MAC_68 = unused % presumably for RussT's 44th lore
0EB = Flag_MAC_69 = unused % presumably for RussT's 45th lore
0EC = Flag_MAC_6A = unused % presumably for RussT's 46th lore
0ED = Flag_MAC_6B = unused % presumably for RussT's 47th lore
0EE = Flag_MAC_6C = unused % presumably for RussT's 48th lore
0EF = Flag_MAC_6D = unused % presumably for RussT's 49th lore
0F0 = Flag_MAC_6E = unused % presumably for RussT's 50th lore
0F1 = Flag_MAC_6F = GF_MAC00_Met_RussT
0F2 = Flag_MAC_70 = GF_MAC00_Met_TheMaster
0F3 = Flag_MAC_71 = GF_MAC00_DictionaryStolen
0F4 = Flag_MAC_72 = GF_MAC00_DictionaryReturned
0F5 = Flag_MAC_73 = GF_MAC00_TranslatedMysteryNote
0F6 = Flag_MAC_74 = unused % presumably for translating the unused SuspiciousNote
0F7 = Flag_MAC_75 = GF_MAC01_ShyGuyTookOverShop
0F8 = Flag_MAC_76 = GF_MAC00_ShyGuyChasedFromShop
0F9 = Flag_MAC_77 = GF_MAC01_Merlon_Shoo1
0FA = Flag_MAC_78 = GF_MAC01_Merlon_Shoo2
0FB = Flag_MAC_79 = GF_MAC01_Merlon_Shoo3
0FC = Flag_MAC_7A = GF_MAC01_Merlon_HintFromDarkToads
0FD = Flag_MAC_7B = GF_MAC01_Merlon_HeardAboutDream
0FE = Flag_MAC_7C = GF_MAC01_QuickChangeDropped
0FF = Flag_MAC_7D = GF_MAC01_Item_QuickChange
100 = Flag_MAC_7E = GF_MAC01_Met_Rowf_Early
101 = Flag_MAC_7F = GF_MAC01_Met_Rowf_Late
102 = Flag_MAC_80 = GF_MAC01_CalculatorReturned
103 = Flag_MAC_81 = GF_MAC01_Met_Rhuff
104 = Flag_MAC_82 = GF_MAC01_RowfBadgeAvailableA
105 = Flag_MAC_83 = GF_MAC01_RowfBadgeAvailableB
106 = Flag_MAC_84 = GF_MAC01_RowfBadgeAvailableC
107 = Flag_MAC_85 = GF_MAC01_RowfBadgesChosen
108 = Flag_MAC_86 = GF_MAC01_Met_Postmaster
109 = Flag_MAC_87 = GF_MAC01_CheckedForLetters
10A = Flag_MAC_88 = GF_MAC01_MailbagReturned
10B = Flag_MAC_89 = unused
10C = Flag_MAC_8A = GF_MAC01_CalculatorStolen
10D = Flag_MAC_8B = GF_MAC01_MailbagStolen
10E = Flag_MAC_8C = GF_MAC01_ChasedShyGuyFromToadHouse
10F = Flag_MAC_8D = GF_MAC01_ShyGuysTramplingGarden
110 = Flag_MAC_8E = GF_MAC01_ChasedShyGuysFromGardenA
111 = Flag_MAC_8F = GF_MAC01_ChasedShyGuysFromGardenB
112 = Flag_MAC_90 = GF_MAC02_HeardAboutMinhT
113 = Flag_MAC_91 = GF_MAC01_HeardAboutBubulbs
114 = Flag_MAC_92 = GF_MAC01_Planted_MagicalSeed1
115 = Flag_MAC_93 = GF_MAC01_Planted_MagicalSeed2
116 = Flag_MAC_94 = GF_MAC01_Planted_MagicalSeed3
117 = Flag_MAC_95 = GF_MAC01_Planted_MagicalSeed4
118 = Flag_MAC_96 = GF_MAC02_Met_TayceT
119 = Flag_MAC_97 = GF_MAC02_TayceT_HoldingCake
11A = Flag_MAC_98 = GF_MAC02_TayceT_HasCookbook
11B = Flag_MAC_99 = GF_MAC02_Gift_MagicalSeed1
11C = Flag_MAC_9A = GF_MAC03_BombedRock
11D = Flag_MAC_9B = GF_MAC03_Conductor_ThankYouA
11E = Flag_MAC_9C = GF_MAC03_ShyGuyBlockingTracks
11F = Flag_MAC_9D = GF_MAC03_ShyGuyChasedOff
120 = Flag_MAC_9E = GF_MAC03_Conductor_ThankYouB
121 = Flag_MAC_9F = GF_MAC04_Item_ToyTrain    % note: item ID has 00020021
122 = Flag_MAC_A0 = GF_MAC04_StoreroomKeyStolen
123 = Flag_MAC_A1 = GF_MAC04_Met_ChetRippo
124 = Flag_MAC_A2 = GF_MAC04_HeardGoombaFamilyArgument
125 = Flag_MAC_A3 = GF_MAC05_SimonGaveLyrics
126 = Flag_MAC_A4 = GF_MAC05_SimonGotMelody
127 = Flag_MAC_A5 = GF_MAC00_HiddenPanel
128 = Flag_MAC_A6 = unused
129 = Flag_MAC_A7 = GF_MAC02_HiddenPanel
12A = Flag_MAC_A8 = GF_MAC03_HiddenPanel
12B = Flag_MAC_A9 = unused
12C = Flag_MAC_AA = GF_MAC05_HiddenPanel
12D = Flag_MAC_AB = GF_MAC00_Item_StarPiece
12E = Flag_MAC_AC = GF_MAC01_Tree1_StarPiece
12F = Flag_MAC_AD = GF_MAC04_Item_SnowmanDoll % note: item ID has 00020081
130 = Flag_MAC_AE = GF_MAC04_Item_VoltShroom  % note: item ID has 0002008B
131 = Flag_MAC_AF = GF_MAC04_Item_DizzyDial   % note: item ID has 0002009A
132 = Flag_MAC_B0 = GF_MAC05_MultiCoinBrick
133 = Flag_MAC_B1 = GF_MAC01_KootFavor_ReadNewsBulletin
134 = Flag_MAC_B2 = GF_MAC01_KootFavor_ReadGossipBulletin
135 = Flag_MAC_B3 = GF_MAC05_Met_Simon
136 = Flag_MAC_B4 = GF_MAC02_DiscoveredRecipe_00
137 = Flag_MAC_B5 = GF_MAC02_DiscoveredRecipe_01
138 = Flag_MAC_B6 = GF_MAC02_DiscoveredRecipe_02
139 = Flag_MAC_B7 = GF_MAC02_DiscoveredRecipe_03
13A = Flag_MAC_B8 = GF_MAC02_DiscoveredRecipe_04
13B = Flag_MAC_B9 = GF_MAC02_DiscoveredRecipe_05
13C = Flag_MAC_BA = GF_MAC02_DiscoveredRecipe_06
13D = Flag_MAC_BB = GF_MAC02_DiscoveredRecipe_07
13E = Flag_MAC_BC = GF_MAC02_DiscoveredRecipe_08
13F = Flag_MAC_BD = GF_MAC02_DiscoveredRecipe_09
140 = Flag_MAC_BE = GF_MAC02_DiscoveredRecipe_0A
141 = Flag_MAC_BF = GF_MAC02_DiscoveredRecipe_0B
142 = Flag_MAC_C0 = GF_MAC02_DiscoveredRecipe_0C
143 = Flag_MAC_C1 = GF_MAC02_DiscoveredRecipe_0D
144 = Flag_MAC_C2 = GF_MAC02_DiscoveredRecipe_0E
145 = Flag_MAC_C3 = GF_MAC02_DiscoveredRecipe_0F
146 = Flag_MAC_C4 = GF_MAC02_DiscoveredRecipe_10
147 = Flag_MAC_C5 = GF_MAC02_DiscoveredRecipe_11
148 = Flag_MAC_C6 = GF_MAC02_DiscoveredRecipe_12
149 = Flag_MAC_C7 = GF_MAC02_DiscoveredRecipe_13
14A = Flag_MAC_C8 = GF_MAC02_DiscoveredRecipe_14
14B = Flag_MAC_C9 = GF_MAC02_DiscoveredRecipe_15
14C = Flag_MAC_CA = GF_MAC02_DiscoveredRecipe_16
14D = Flag_MAC_CB = GF_MAC02_DiscoveredRecipe_17
14E = Flag_MAC_CC = GF_MAC02_DiscoveredRecipe_18
14F = Flag_MAC_CD = GF_MAC02_DiscoveredRecipe_19
150 = Flag_MAC_CE = GF_MAC02_DiscoveredRecipe_1A
151 = Flag_MAC_CF = GF_MAC02_DiscoveredRecipe_1B
152 = Flag_MAC_D0 = GF_MAC02_DiscoveredRecipe_1C
153 = Flag_MAC_D1 = GF_MAC02_DiscoveredRecipe_1D
154 = Flag_MAC_D2 = GF_MAC02_DiscoveredRecipe_1E
155 = Flag_MAC_D3 = GF_MAC02_DiscoveredRecipe_1F
156 = Flag_MAC_D4 = GF_MAC02_DiscoveredRecipe_20
157 = Flag_MAC_D5 = GF_MAC02_DiscoveredRecipe_21
158 = Flag_MAC_D6 = GF_MAC02_DiscoveredRecipe_22
159 = Flag_MAC_D7 = GF_MAC02_DiscoveredRecipe_23
15A = Flag_MAC_D8 = GF_MAC02_DiscoveredRecipe_24
15B = Flag_MAC_D9 = GF_MAC02_DiscoveredRecipe_25
15C = Flag_MAC_DA = GF_MAC02_DiscoveredRecipe_26
15D = Flag_MAC_DB = GF_MAC02_DiscoveredRecipe_27
15E = Flag_MAC_DC = GF_MAC02_DiscoveredRecipe_28
15F = Flag_MAC_DD = GF_MAC02_DiscoveredRecipe_29
160 = Flag_MAC_DE = GF_MAC02_DiscoveredRecipe_2A
161 = Flag_MAC_DF = GF_MAC02_DiscoveredRecipe_2B
162 = Flag_MAC_E0 = GF_MAC02_DiscoveredRecipe_2C
163 = Flag_MAC_E1 = GF_MAC02_DiscoveredRecipe_2D
164 = Flag_MAC_E2 = GF_MAC02_DiscoveredRecipe_2E
165 = Flag_MAC_E3 = GF_MAC02_DiscoveredRecipe_2F
166 = Flag_MAC_E4 = GF_MAC02_DiscoveredRecipe_30
167 = Flag_MAC_E5 = GF_MAC02_DiscoveredRecipe_31
168 = Flag_MAC_E6 = GF_MAC02_DiscoveredRecipe_32
169 = Flag_MAC_E7 = GF_MAC02_DiscoveredRecipe_33
16A = Flag_MAC_E8 = GF_MAC03_UnlockedPlayroom
16B = Flag_MAC_E9 = GF_MGM00_Met_Receptionist
16C = Flag_MAC_EA = GF_MGM_Unlocked_JumpAttack
16D = Flag_MAC_EB = GF_MGM_Met_JumpAttack
16E = Flag_MAC_EC = GF_MGM_Unlocked_SmashAttack
16F = Flag_MAC_ED = GF_MGM_Met_SmashAttack
170 = Flag_MAC_EE = GF_MAC01_BoughtBadgeFromRowf
171 = Flag_MAC_EF = unused
172 = Flag_MAC_F0 = unused
173 = Flag_MAC_F1 = unused
174 = Flag_MAC_F2 = unused
175 = Flag_MAC_F3 = unused
176 = Flag_MAC_F4 = unused
177 = Flag_MAC_F5 = unused
178 = Flag_MAC_F6 = unused
179 = Flag_MAC_F7 = unused
17A = Flag_MAC_F8 = unused
17B = Flag_MAC_F9 = unused
17C = Flag_MAC_FA = unused
17D = Flag_MAC_FB = unused
17E = Flag_MAC_FC = unused
17F = Flag_MAC_FD = unused
180 = Flag_MAC_FE = unused
181 = Flag_MAC_FF = unused
182 = Flag_MAC_100 = unused
183 = Flag_MAC_101 = unused
184 = Flag_TIK_00 = unused
185 = Flag_TIK_01 = GF_TIK15_Met_RipCheato
186 = Flag_TIK_02 = GF_TIK02_BoardedFloor
187 = Flag_TIK_03 = GF_TIK02_Hammer1Block
188 = Flag_TIK_04 = GF_TIK02_Hammer2Block
189 = Flag_TIK_05 = GF_TIK14_BombedWall
18A = Flag_TIK_06 = GF_TIK01_Hammer2Block
18B = Flag_TIK_07 = GF_TIK12_Hammer3BlockA
18C = Flag_TIK_08 = GF_TIK12_Hammer3BlockB
18D = Flag_TIK_09 = GF_TIK23_Hammer2Block
18E = Flag_TIK_0A = GF_TIK24_Hammer3Block
18F = Flag_TIK_0B = GF_TIK02_Chest_ShrinkStomp
190 = Flag_TIK_0C = GF_TIK03_ItemBlock_SnowmanDoll
191 = Flag_TIK_0D = GF_TIK03_ItemBlock_CoinA
192 = Flag_TIK_0E = GF_TIK03_ItemBlock_CoinB
193 = Flag_TIK_0F = GF_TIK05_Chest_PowerSmash1
194 = Flag_TIK_10 = GF_TIK07_Item_StarPiece
195 = Flag_TIK_11 = GF_TIK10_HiddenItem_CoinA
196 = Flag_TIK_12 = GF_TIK10_HiddenItem_CoinB
197 = Flag_TIK_13 = GF_TIK10_HiddenItem_CoinC
198 = Flag_TIK_14 = GF_TIK18_HiddenItem_SuperShroom
199 = Flag_TIK_15 = GF_TIK18_MultiCoinBrick
19A = Flag_TIK_16 = GF_TIK20_ItemBlock_ShootingStar
19B = Flag_TIK_17 = GF_TIK21_ItemBlock_Coin
19C = Flag_TIK_18 = GF_TIK21_HiddenItem_CoinA
19D = Flag_TIK_19 = GF_TIK21_HiddenItem_CoinB
19E = Flag_TIK_1A = GF_TIK21_HiddenItem_CoinC
19F = Flag_TIK_1B = GF_TIK21_HiddenItem_CoinD
1A0 = Flag_TIK_1C = GF_TIK23_HiddenItem_MapleSyrup
1A1 = Flag_TIK_1D = GF_TIK23_HiddenItem_StopWatch
1A2 = Flag_TIK_1E = GF_TIK23_HiddenItem_VoltShroom
1A3 = Flag_TIK_1F = GF_TIK23_ItemBlock_Coin
1A4 = Flag_TIK_20 = GF_TIK24_HiddenItem_LifeShroom
1A5 = Flag_TIK_21 = GF_TIK24_ItemBlock_CoinA
1A6 = Flag_TIK_22 = GF_TIK24_ItemBlock_CoinB
1A7 = Flag_TIK_23 = GF_TIK25_GiantChest
1A8 = Flag_TIK_24 = GF_TIK05_SpringBrick
1A9 = Flag_TIK_25 = GF_TIK25_SpringBrickA
1AA = Flag_TIK_26 = GF_TIK25_SpringBrickB
1AB = Flag_TIK_27 = GF_TIK_DefeatedOneBlooper
1AC = Flag_TIK_28 = GF_TIK_DefeatedTwoBloopers
1AD = Flag_TIK_29 = GF_TIK01_Defeated_Blooper
1AE = Flag_TIK_2A = GF_TIK02_Defeated_Blooper
1AF = Flag_TIK_2B = GF_TIK08_Defeated_Blooper
1B0 = Flag_TIK_2C = GF_TIK09_Defeated_Ambush
1B1 = Flag_TIK_2D = GF_TIK07_SuperBlock
1B2 = Flag_TIK_2E = GF_TIK10_SuperBlock
1B3 = Flag_TIK_2F = GF_TIK02_SuperBlock
1B4 = Flag_TIK_30 = GF_TIK17_SuperBlock
1B5 = Flag_TIK_31 = GF_TIK19_SuperBlock
1B6 = Flag_TIK_32 = GF_Tutorial_SuperBlock % has learned about super blocks
1B7 = Flag_TIK_33 = unused
1B8 = Flag_TIK_34 = unused
1B9 = Flag_TIK_35 = unused
1BA = Flag_TIK_36 = unused
1BB = Flag_TIK_37 = unused
1BC = Flag_TIK_38 = unused
1BD = Flag_TIK_39 = unused
1BE = Flag_TIK_3A = unused
1BF = Flag_TIK_3B = unused
1C0 = Flag_TIK_3C = unused
1C1 = Flag_TIK_3D = unused
1C2 = Flag_TIK_3E = unused
1C3 = Flag_TIK_3F = unused
1C4 = Flag_TIK_40 = unused
