Index,Name,MenuIconID,Priority,Target,Sell Value,Menu Desc,Item Desc,Type,MoveID,HP,MP,Name,Desc
3E,0026-00F3,88,0,00000008,FFFF,0025-00F3,0023-00F3,1009,00,0,0,Letter 09,null
3F,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
40,0026-00F4,88,0,00000008,FFFF,0025-00F4,0023-00F4,1009,00,0,0,Letter 10,null
41,0026-00F5,88,0,00000008,FFFF,0025-00F5,0023-00F5,1009,00,0,0,Letter 11,null
42,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
43,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
44,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
45,0026-00F6,88,0,00000008,FFFF,0025-00F6,0023-00F6,1009,00,0,0,Letter 12,null
46,0026-00F7,88,0,00000008,FFFF,0025-00F7,0023-00F7,1009,00,0,0,Letter 13,null
47,0026-00F8,88,0,00000008,FFFF,0025-00F8,0023-00F8,1009,00,0,0,Letter 14,null
48,0026-00F9,88,0,00000008,FFFF,0025-00F9,0023-00F9,1009,00,0,0,Letter 15,null
49,0026-00FA,88,0,00000008,FFFF,0025-00FA,0023-00FA,1009,00,0,0,Letter 16,null
4A,0026-00FB,88,0,00000008,FFFF,0025-00FB,0023-00FB,1009,00,0,0,Letter 17,null
4B,0026-00FC,88,0,00000008,FFFF,0025-00FC,0023-00FC,1009,00,0,0,Letter 18,null
4C,0026-00FD,88,0,00000008,FFFF,0025-00FD,0023-00FD,1009,00,0,0,Letter 19,null
4D,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
4E,0026-00FE,88,0,00000008,FFFF,0025-00FE,0023-00FE,1009,00,0,0,Letter 20,null
4F,0026-00FF,88,0,00000008,FFFF,0025-00FF,0023-00FF,1009,00,0,0,Letter 21,null
50,0026-0100,88,0,00000008,FFFF,0025-0100,0023-0100,1009,00,0,0,Letter 22,null
51,0026-0101,88,0,00000008,FFFF,0025-0101,0023-0101,1009,00,0,0,Letter 23,null
52,0026-0102,88,0,00000008,FFFF,0025-0102,0023-0102,1009,00,0,0,Letter 24,null
53,0026-00B1,48,0,00000008,FFFF,0025-00B1,0023-00B1,1009,00,0,0,Artifact,null
54,0026-00EA,88,0,00000008,FFFF,0025-00EA,0023-00EA,1009,00,0,0,Letter 25,null
55,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
56,0026-00AE,45,0,00000008,FFFF,0025-00AE,0023-00AE,1009,00,0,0,Dolly,null
57,0026-00C5,5E,0,00000008,FFFF,0025-00C5,0023-00C5,1009,00,0,0,Water Stone,null
58,0026-00C6,5F,0,00000008,FFFF,0025-00C6,0023-00C6,1009,00,0,0,Magical Bean,null
59,0026-00C7,60,0,00000008,FFFF,0025-00C7,0023-00C7,1009,00,0,0,Fertile Soil,null
5A,0026-00C8,61,0,00000008,FFFF,0025-00C8,0023-00C8,1009,00,0,0,Miracle Water,null
5B,0026-00CD,49,0,00000008,FFFF,0025-00CD,0023-00CD,1009,00,0,0,Volcano Vase,null
5C,0026-0104,81,0,00000008,FFFF,0025-0104,0023-0104,1009,00,0,0,Tape,null
5D,0026-00D8,116,0,00000008,FFFF,0025-00D8,0023-00D8,1009,00,0,0,Sugar,null
5E,0026-00D9,115,0,00000008,FFFF,0025-00D9,0023-00D9,1009,00,0,0,Salt,null
5F,0026-00DA,117,0,00000008,FFFF,0025-00DA,0023-00DA,1009,00,0,0,Egg 1,null
60,0026-00DB,118,0,00000008,FFFF,0025-00DB,0023-00DB,1009,00,0,0,Cream,null
61,0026-00DC,119,0,00000008,FFFF,0025-00DC,0023-00DC,1009,00,0,0,Strawberry,null
62,0026-00DD,11A,0,00000008,FFFF,0025-00DD,0023-00DD,1009,00,0,0,Butter,null
63,0026-00DE,11B,0,00000008,FFFF,0025-00DE,0023-00DE,1009,00,0,0,Cleanser,null
64,0026-00DF,11C,0,00000008,FFFF,0025-00DF,0023-00DF,1009,00,0,0,Water,null
65,0026-00E0,11D,0,00000008,FFFF,0025-00E0,0023-00E0,1009,00,0,0,Flour,null
66,0026-00E1,11E,0,00000008,FFFF,0025-00E1,0023-00E1,1009,00,0,0,Milk,null
67,0026-00D6,6F,0,00000008,FFFF,0025-00D6,0023-00D6,1009,00,0,0,Lyrics,null
68,0026-00D7,6E,0,00000008,FFFF,0025-00D7,0023-00D7,1009,00,0,0,Melody,null
69,0026-00BF,70,0,00000008,FFFF,0025-00BF,0023-00BF,1009,00,0,0,Mailbag,null
6A,0026-00AC,73,0,00000008,FFFF,0025-00AC,0023-00AC,1009,00,0,0,Castle Key 3,null
6B,0026-00AD,53,0,00000008,FFFF,0025-00AD,0023-00AD,1009,00,0,0,Odd Key,null
6C,0026-00D1,71,0,00000008,FFFF,0025-00D1,0023-00D1,1009,00,0,0,Star Stone,null
6D,0026-00D4,72,0,00000008,FFFF,0025-00D4,0023-00D4,1009,00,0,0,Sneaky Parasol,null
6E,0026-0103,80,0,00000008,FFFF,0025-0103,0023-0103,1009,00,0,0,Koopa Legends,null
6F,0026-0105,82,0,00000008,FFFF,0025-0105,0023-0105,1009,00,0,0,Autograph 1,null
70,0026-0106,83,0,00000008,FFFF,0025-0106,0023-0106,1009,00,0,0,Empty Wallet,null
71,0026-0107,84,0,00000008,FFFF,0025-0107,0023-0107,1009,00,0,0,Autograph 2,null
72,0000-0000,85,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,Koopa Shell,null
73,0026-0108,86,0,00000008,FFFF,0025-0108,0023-0108,1009,00,0,0,Old Photo,null
74,0026-0109,87,0,00000008,FFFF,0025-0109,0023-0109,1009,00,0,0,Glasses,null
75,0000-0000,86,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,Photograph,null
76,0026-010A,6C,0,00000008,FFFF,0025-010A,0023-010A,1009,00,0,0,Package,null
77,0026-010B,6D,0,00000008,FFFF,0025-010B,0023-010B,1009,00,0,0,Red Jar,null
78,0026-00AC,73,0,00000008,FFFF,0025-00AC,0023-00AC,1009,00,0,0,Castle Key 4,null
79,0026-00CE,53,0,00000008,FFFF,0025-00CE,0023-00CE,1009,00,0,0,Warehouse Key,null
7A,0026-00D5,53,0,00000008,FFFF,0025-00D5,0023-00D5,1009,00,0,0,Prison Key 1,null
7B,0026-00E8,7F,0,00000008,FFFF,0025-00E8,0023-00E8,1009,00,0,0,Silver Credit,null
7C,0026-00E9,7E,0,00000008,FFFF,0025-00E9,0023-00E9,1009,00,0,0,Gold Credit,null
7D,0026-00D5,73,0,00000008,FFFF,0025-00D5,0023-00D5,1009,00,0,0,Prison Key 2,null
7E,0026-00D5,73,0,00000008,FFFF,0025-00D5,0023-00D5,1009,00,0,0,Prison Key 3,null
7F,0026-00D5,73,0,00000008,FFFF,0025-00D5,0023-00D5,1009,00,0,0,Prison Key 4,null
80,0026-0000,120,0,00008002,4,0025-0000,0023-0000,1006,00,3,0,Fire Flower,null
81,0026-0001,121,0,00008002,6,0025-0001,0023-0001,1006,00,4,0,Snowman Doll,null
82,0026-0002,122,0,00008002,8,0025-0002,0023-0002,1006,00,5,0,Thunder Rage,null
83,0026-0004,124,0,00008002,F,0025-0004,0023-0004,1006,00,6,0,Shooting Star,null
84,0026-0003,123,0,00008003,4,0025-0003,0023-0003,1006,00,5,0,Thunder Bolt,null
85,0026-0006,126,0,00008003,1,0025-0006,0023-0006,1006,00,1,0,Pebble,null
86,0026-0005,125,0,00008003,1,0025-0005,0023-0005,1006,00,1,0,Dusty Hammer,null
87,0000-0000,13D,0,00008003,1,0000-0000,0000-0000,1006,00,0,0,Insecticide Herb,null
88,0026-0007,128,0,00000009,F,0025-0007,0023-0007,1006,00,3,0,Stone Cap,null
89,0026-000E,FD,0,00000009,1,0025-000E,0023-000E,1187,00,0,0,Tasty Tonic,null
8A,0026-0009,F8,0,00000009,2,0025-0009,0023-0009,1087,00,5,0,Mushroom,null
8B,0026-0008,129,0,00000009,7,0025-0008,0023-0008,1086,00,4,0,Volt Shroom,null
8C,0026-000A,F9,0,00000009,7,0025-000A,0023-000A,1087,00,A,0,Super Shroom,null
8D,0026-000D,FC,0,00000009,1,0025-000D,0023-000D,1087,00,1,0,Dried Shroom,null
8E,0026-000B,FA,0,00000009,32,0025-000B,0023-000B,1087,00,32,0,Ultra Shroom,null
8F,0026-0026,130,0,00008002,4,0025-0026,0023-0026,1006,00,3,0,Sleepy Sheep,null
90,0026-0027,132,0,00008002,3,0025-0027,0023-0027,1006,00,2,0,POW Block,null
91,0000-0000,133,0,00000009,A,0000-0000,0000-0000,1186,00,2,0,Hustle Drink,null
92,0026-0028,134,0,00008002,A,0025-0028,0023-0028,1006,00,4,0,Stop Watch,null
93,0026-0019,113,0,00000009,1E,0025-0019,0023-0019,1087,00,19,19,Whackas Bump,null
94,0026-001A,114,0,00000009,2,0025-001A,0023-001A,1087,00,5,0,Apple,null
95,0026-000C,FB,0,00000009,14,0025-000C,0023-000C,1087,00,A,0,Life Shroom,null
96,0026-002B,13B,0,00000009,1,0025-002B,0023-002B,1006,00,0,0,Mystery,null
97,0026-002C,13C,0,00000009,F,0025-002C,0023-002C,1006,00,2,0,Repel Gel,null
98,0026-002A,13A,0,00008002,3,0025-002A,0023-002A,1006,00,0,0,Fright Jar,null
99,0000-0000,138,0,00000009,5,0000-0000,0000-0000,1006,00,0,0,Please Come Back,null
9A,0026-0029,135,0,00008002,6,0025-0029,0023-0029,1006,00,3,0,Dizzy Dial,null
9B,0026-000F,FE,0,00000009,3,0025-000F,0023-000F,1187,00,0,5,Super Soda,null
9C,0026-0015,107,0,00000009,1,0025-0015,0023-0015,1087,00,1,2,Lemon,null
9D,0026-0014,106,0,00000009,1,0025-0014,0023-0014,1087,00,0,3,Lime,null
9E,0026-0010,FF,0,00000009,2,0025-0010,0023-0010,1087,00,0,5,Blue Berry,null
9F,0026-0011,100,0,00000009,2,0025-0011,0023-0011,1087,00,5,0,Red Berry,null
A0,0026-0012,101,0,00000009,2,0025-0012,0023-0012,1087,00,3,3,Yellow Berry,null
A1,0026-0013,102,0,00000009,3,0025-0013,0023-0013,1087,00,5,0,Bubble Berry,null
A2,0026-0018,112,0,00000009,32,0025-0018,0023-0018,1087,00,0,32,Jammin Jelly,null
A3,0026-0017,111,0,00000009,A,0025-0017,0023-0017,1187,00,0,A,Maple Syrup,null
A4,0026-0016,110,0,00000009,3,0025-0016,0023-0016,1187,00,0,5,Honey Syrup,null
A5,0026-001B,103,0,00000009,2,0025-001B,0023-001B,1087,00,0,3,Goomnut,null
A6,0026-001C,104,0,00000009,1,0025-001C,0023-001C,1087,00,0,3,Koopa Leaf,null
A7,0026-001D,105,0,00000009,4,0025-001D,0023-001D,1087,00,3,2,Dried Pasta,null
A8,0026-001E,108,0,00000009,5,0025-001E,0023-001E,1087,00,F,0,Dried Fruit,null
A9,0026-001F,109,0,00000009,2,0025-001F,0023-001F,1087,00,0,5,Strange Leaf,null
AA,0026-0020,10A,0,00000009,3,0025-0020,0023-0020,1087,00,0,1,Cake Mix,null
AB,0026-0021,10B,0,00000009,2,0025-0021,0023-0021,1087,00,5,0,Egg 2,null
AC,0026-0022,10C,0,00008003,1,0025-0022,0023-0022,1006,00,3,0,Coconut,null
AD,0026-0023,10D,0,00000009,7,0025-0023,0023-0023,1087,00,F,0,Melon,null
AE,0026-0024,10E,0,00000009,1,0025-0024,0023-0024,1087,00,0,5,Stinky Herb,null
AF,0026-0025,10F,0,00000009,3,0025-0025,0023-0025,1087,00,5,0,Iced Potato,null
B0,0026-002D,1,0,00000009,A,0025-002D,0023-002D,1187,00,4,4,Spicy Soup,null
B1,0026-002E,2,0,00000009,A,0025-002E,0023-002E,1087,00,5,F,Apple Pie,null
B2,0026-0035,3,0,00000009,4B,0025-0035,0023-0035,1087,00,32,5,Honey Ultra,null
B3,0026-0036,4,0,00000009,64,0025-0036,0023-0036,1087,00,32,A,Maple Ultra,null
B4,0026-0037,5,0,00000009,96,0025-0037,0023-0037,1087,00,32,32,Jelly Ultra,null
B5,0026-0038,6,0,00000009,A,0025-0038,0023-0038,1087,00,7,7,Koopasta,null
B6,0026-0039,7,0,00000009,5,0025-0039,0023-0039,1087,00,6,2,Fried Shroom,null
B7,0026-003C,8,0,00000009,14,0025-003C,0023-003C,1087,00,A,A,Shroom Cake,null
B8,0026-003B,9,0,00000009,2D,0025-003B,0023-003B,1087,00,1E,A,Shroom Steak,null
B9,0026-003A,A,0,00000009,F,0025-003A,0023-003A,1087,00,F,5,Hot Shroom,null
BA,0026-003D,B,0,00000009,32,0025-003D,0023-003D,1087,00,1E,14,Sweet Shroom,null
BB,0026-003F,E,0,00000009,F,0025-003F,0023-003F,1087,00,14,14,Yummy Meal,null
BC,0026-0042,C,0,00000009,19,0025-0042,0023-0042,1187,00,0,28,Healthy Juice,null
BD,0026-003E,D,0,00000009,A,0025-003E,0023-003E,1087,00,A,A,Bland Meal,null
BE,0026-0040,F,0,00000009,3C,0025-0040,0023-0040,1087,00,28,28,Deluxe Feast,null
BF,0026-0041,10,0,00000009,A,0025-0041,0023-0041,1187,00,0,14,Special Shake,null
C0,0026-0043,11,0,00000009,A,0025-0043,0023-0043,1087,00,0,14,Big Cookie,null
C1,0026-0044,12,0,00000009,A,0025-0044,0023-0044,1087,00,0,F,Cake,null
C2,0026-0045,13,0,00000009,1,0025-0045,0023-0045,1087,00,1,1,Mistake,null
C3,0026-0046,14,0,00000009,3,0025-0046,0023-0046,1187,00,0,7,Koopa Tea,null
C4,0026-0032,15,0,00000009,14,0025-0032,0023-0032,1087,00,A,5,Honey Super,null
C5,0026-0033,16,0,00000009,23,0025-0033,0023-0033,1087,00,A,A,Maple Super,null
C6,0026-0034,17,0,00000009,64,0025-0034,0023-0034,1087,00,A,32,Jelly Super,null
C7,0026-0047,18,0,00000009,7,0025-0047,0023-0047,1087,00,6,4,Spaghetti,null
C8,0026-0048,19,0,00008003,A,0025-0048,0023-0048,1006,00,6,0,Egg Missile,null
C9,0026-0049,1A,0,00000009,7,0025-0049,0023-0049,1087,00,A,0,Fried Egg,null
CA,0026-002F,1B,0,00000009,A,0025-002F,0023-002F,1087,00,5,5,Honey Shroom,null
CB,0026-004A,1C,0,00000009,F,0025-004A,0023-004A,1087,00,0,14,Honey Candy,null
CC,0026-004B,1D,0,00000009,19,0025-004B,0023-004B,1087,00,0,F,Electro Pop,null
CD,0026-004C,1E,0,00000009,14,0025-004C,0023-004C,1087,00,FF,14,Fire Pop,null
CE,0026-004D,1F,0,00000009,F,0025-004D,0023-004D,1087,00,0,14,Lime Candy,null
CF,0026-004E,20,0,00000009,C,0025-004E,0023-004E,1087,00,3,F,Coco Pop,null
D0,0026-004F,21,0,00000009,F,0025-004F,0023-004F,1087,00,5,F,Lemon Candy,null
D1,0026-0050,22,0,00000009,64,0025-0050,0023-0050,1087,00,0,40,Jelly Pop,null
D2,0026-0051,23,0,00000009,A,0025-0051,0023-0051,1086,00,0,0,Strange Cake,null
D3,0026-0052,24,0,00000009,C,0025-0052,0023-0052,1087,00,0,F,Kooky Cookie,null
D4,0026-0053,25,0,00000009,F,0025-0053,0023-0053,1087,00,F,0,Frozen Fries,null
D5,0026-0054,26,0,00000009,6,0025-0054,0023-0054,1087,00,A,0,Potato Salad,null
D6,0026-0055,27,0,00000009,6,0025-0055,0023-0055,1087,00,0,A,Nutty Cake,null
D7,0026-0030,28,0,00000009,19,0025-0030,0023-0030,1087,00,5,A,Maple Shroom,null
D8,0026-0056,29,0,00000009,A,0025-0056,0023-0056,1087,00,8,8,Boiled Egg,null
D9,0026-0057,2A,0,00000009,14,0025-0057,0023-0057,1087,00,F,F,Yoshi Cookie,null
DA,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 1,null
DB,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 2,null
DC,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 3,null
DD,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 4,null
DE,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 5,null
DF,0026-0031,2B,0,00000009,4B,0025-0031,0023-0031,1087,00,5,32,Jelly Shroom 6,null
E0,0026-0068,90,17,00000000,4B,0025-0068,0023-0068,1040,08,0,0,Spin Smash,null
E1,0026-005E,91,4,00000000,4B,0025-005E,0023-005E,1040,1F,0,0,Multibounce,null
E2,0026-0073,92,43,00000000,FA,0025-0073,0023-0073,1040,3B,0,0,Power Plus A,null
E3,0026-0080,93,28,00000000,64,0025-0080,0023-0080,1040,4C,0,0,Dodge Master,null
E4,0026-0061,94,D,00000000,64,0025-0061,0023-0061,1040,20,0,0,Power Bounce,null
E5,0026-007F,95,5C,00000000,64,0025-007F,0023-007F,1040,40,0,0,Spike Shield,null
E6,0026-0087,96,6D,00000000,64,0025-0087,0023-0087,1040,4D,0,0,First Attack,null
E7,0026-0071,97,35,00000000,96,0025-0071,0023-0071,1040,52,0,0,HP Plus A,null
E8,0026-006A,98,18,00000000,64,0025-006A,0023-006A,1040,09,0,0,Quake Hammer,null
E9,0026-006D,99,21,00000000,64,0025-006D,0023-006D,1040,35,0,0,Double Dip,null
EA,0000-0000,140,0,00000000,64,0000-0000,0000-0000,1040,53,0,0,Mystery Scroll,null
EB,0026-005C,9C,9,00000000,4B,0025-005C,0023-005C,1040,21,0,0,Sleep Stomp,null
EC,0026-0097,A0,5B,00000000,4B,0025-0097,0023-0097,1040,41,0,0,Fire Shield,null
ED,0026-0070,E3,24,00000000,C8,0025-0070,0023-0070,1040,38,0,0,Quick Change,null
EE,0026-0069,A4,1D,00000000,4B,0025-0069,0023-0069,1040,0A,0,0,D Down Pound,null
EF,0026-005D,A6,A,00000000,4B,0025-005D,0023-005D,1040,22,0,0,Dizzy Stomp,null
F0,0000-0000,A8,14,00000000,1E,0000-0000,0000-0000,1040,0B,0,0,Smash Charge 0,null
F1,0026-0081,A9,55,00000000,64,0025-0081,0023-0081,1040,42,0,0,Pretty Lucky,null
F2,0026-008C,AA,5E,00000000,64,0025-008C,0023-008C,1040,43,0,0,Feeling Fine,null
F3,0026-008D,AB,70,00000000,1E,0025-008D,0023-008D,1040,54,0,0,Attack FXA,null
F4,0026-0093,AC,50,00000000,64,0025-0093,0023-0093,1040,3C,0,0,Allor Nothing,null
F5,0026-0078,AD,4F,00000000,32,0025-0078,0023-0078,1040,5A,0,0,HP Drain,null
F6,0000-0000,AE,4,00000000,1E,0000-0000,0000-0000,1040,23,0,0,Jump Charge 0,null
F7,0026-0094,AF,6F,00000000,A,0025-0094,0023-0094,1040,4E,0,0,Slow Go,null
F8,0026-0072,B0,3A,00000000,96,0025-0072,0023-0072,1040,5B,0,0,FP Plus A,null
F9,0026-0086,B1,51,00000000,32,0025-0086,0023-0086,1040,5F,0,0,Mega Rush,null
FA,0026-0095,B2,5A,00000000,4B,0025-0095,0023-0095,1040,3D,0,0,Ice Power,null
FB,0026-0074,B3,46,00000000,FA,0025-0074,0023-0074,1040,45,0,0,Defend Plus A,null
FC,0026-0096,B4,65,00000000,32,0025-0096,0023-0096,1040,63,0,0,Pay Off,null
FD,0026-009A,B5,65,00000000,C8,0025-009A,0023-009A,1040,5C,0,0,Money Money,null
FE,0026-0098,B6,69,00000000,32,0025-0098,0023-0098,1040,5D,0,0,Chill Out,null
FF,0026-0079,B7,2A,00000000,64,0025-0079,0023-0079,1040,5E,0,0,Happy Heart A,null
100,0026-0099,B8,5F,00000000,64,0025-0099,0023-0099,1040,44,0,0,Zap Tap,null
101,0000-0000,B9,58,00000000,12C,0000-0000,0000-0000,1040,60,0,0,Berserker,null
102,0026-009B,BA,29,00000000,12C,0025-009B,0023-009B,1040,4F,0,0,Right On,null
103,0026-009C,BB,63,00000000,32,0025-009C,0023-009C,1040,61,0,0,Runaway Pay,null
104,0026-009D,BC,64,00000000,32,0025-009D,0023-009D,1040,6E,0,0,Refund,null
105,0026-007B,BD,3F,00000000,FA,0025-007B,0023-007B,1040,62,0,0,Flower Saver A,null
106,0026-006E,BE,22,00000000,C8,0025-006E,0023-006E,1040,36,0,0,Triple Dip,null
107,0026-0066,A7,1C,00000000,4B,0025-0066,0023-0066,1040,0D,0,0,Hammer Throw,null
108,0026-006C,9B,1A,00000000,C8,0025-006C,0023-006C,1040,0E,0,0,Mega Quake,null
109,0026-0064,9D,15,00000000,32,0025-0064,0023-0064,1040,0F,0,0,Smash Charge,null
10A,0026-005A,A1,5,00000000,32,0025-005A,0023-005A,1040,25,0,0,Jump Charge,null
10B,0026-0065,9E,16,00000000,64,0025-0065,0023-0065,1040,11,0,0,S Smash Chg,null
10C,0026-005B,A2,6,00000000,64,0025-005B,0023-005B,1040,27,0,0,S Jump Chg,null
10D,0026-0084,D1,53,00000000,32,0025-0084,0023-0084,1040,64,0,0,Power Rush,null
